feature,feature_type,mean_abs_shap,used_in_model,target_variable
loss_ratio,numeric,0.400042502191777,True,premium_customer
total_earned_premium,numeric,0.3432174881149776,True,premium_customer
average_loss_ratio,numeric,0.2158362545854672,True,premium_customer
total_commission,numeric,0.0208090346998038,True,premium_customer
average_earned_premium,numeric,0.005176316568515,True,premium_customer
total_net_loss,numeric,0.0050179429303315,True,premium_customer
claim_frequency,numeric,0.0034502003980155,True,premium_customer
total_claim_count,numeric,0.0020991001722735,True,premium_customer
average_claim_severity,numeric,0.0014164998450224,True,premium_customer
claim_frequency_per_year,numeric,0.0007436344288628,True,premium_customer
total_written_premium,numeric,0.0005645250912564,True,premium_customer
average_premium,numeric,0.0004210911622445,True,premium_customer
average_coverage_amount,numeric,0.0004190278472032,True,premium_customer
total_admin_expense,numeric,0.0003151290771723,True,premium_customer
coverage_to_property_ratio,numeric,0.000164620379133,True,premium_customer
total_tax,numeric,0.0001365803077991,True,premium_customer
dominant_agent_channel,categorical,5.256330002819915e-05,True,premium_customer
average_property_value,numeric,4.6578972859231176e-05,True,premium_customer
premium_to_property_ratio,numeric,2.3215893005725065e-05,True,premium_customer
average_credit_score,numeric,1.1010985902867612e-05,True,premium_customer
average_payment_delay,numeric,1.0952800008148924e-05,True,premium_customer
dominant_income_bracket,categorical,9.613648744780272e-06,True,premium_customer
multi_product_rate,numeric,6.366217802561777e-06,True,premium_customer
dominant_state,categorical,4.662750548599023e-06,True,premium_customer
average_hazard_score,numeric,4.21661205181025e-06,True,premium_customer
total_complaints,numeric,8.710191924285914e-07,True,premium_customer
average_deductible,numeric,0.0,True,premium_customer
dominant_credit_band,categorical,0.0,True,premium_customer
average_customer_satisfaction,numeric,0.0,True,premium_customer
delinquency_rate,numeric,0.0,True,premium_customer
renewal_rate,numeric,0.0,True,premium_customer
dominant_item_type,categorical,0.0,True,premium_customer
dominant_subtype,categorical,0.0,True,premium_customer
average_agent_experience,numeric,0.0,True,premium_customer
dominant_marketing_channel,categorical,0.0,True,premium_customer
dominant_payment_method,categorical,0.0,True,premium_customer
max_tenure,numeric,0.0,True,premium_customer
years_active,numeric,0.0,True,premium_customer
policy_year_records,numeric,0.0,True,premium_customer
